signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
OrgCap,0.40909254739290396,0.18454776479814589,468,2013,0.4511149517981833,-0.6477157812806713,1.129739311546082,0.7660577177440937
PS,1.0480293709852773,0.5949707941048267,252,2000,0.5677043130437084,0.7591063092899636,-0.48315144791568576,-0.3318318919547288
PatentsRD,0.4556732439454061,-5.224885000648185,321,2013,-11.46629754999215,-0.545153602228624,1.129739311546082,0.09738566925886656
PayoutYield,0.4326195010725782,0.20123207523050776,240,2007,0.4651479527196537,-0.5959137299067883,0.3853281917944969,-0.41836310608417104
PctAcc,0.45479014274863616,0.11979380274932488,240,2011,0.2634045716675422,-0.5470980296367051,0.881602271628887,-0.41836310608417104
PctTotAcc,0.49579007185719315,0.38814211127382864,240,2011,0.7828759253283891,-0.45682368035527093,0.881602271628887,-0.41836310608417104
PredictedFE,0.41227634268849384,-0.03658000915435493,126,1998,-0.08872691776543169,-0.6407056460242501,-0.7312884878328808,-1.561154812368871
Price,1.430288612861401,0.3285472199342003,480,1973,0.22970693955041466,1.6007712845101107,-3.833001486797819,0.8109598143299711
PriceDelayRsq,0.4916899442867479,-0.2528296676408409,456,2005,-0.5142054877847849,-0.4658514117792153,0.13719115187730185,0.7199892034371634
PriceDelaySlope,0.1609241048209786,-0.11071797000395213,456,2005,-0.6880135833417951,-1.1941373276704135,0.13719115187730185,0.7199892034371634
PriceDelayTstat,0.16230680907209602,-0.10632609356408244,456,2005,-0.6550932408316451,-1.1910928656620086,0.13719115187730185,0.7199892034371634
ProbInformedTrading,1.6614716542224288,0.36702285180790317,60,2002,0.2209022650944174,2.109794082293777,-0.23501440799849072,-2.877008946912455
RD,1.0123473132883358,0.22383088884512206,252,2001,0.22110088692591884,0.6805409407722485,-0.35908292795708824,-0.3318318919547288
RDAbility,0.30779944972830603,0.21259483088226414,360,2013,0.6906926931478311,-0.8707446663833989,1.129739311546082,0.30074470363512074
RDIPO,0.9018794976383524,0.6988447543508298,192,2006,0.7748759742080996,0.4373110037657876,0.2612596718358994,-0.8141166918544642
RDS,0.4884360963662061,-0.103338828504811,336,2011,-0.21157082630382107,-0.47301579011045375,0.881602271628887,0.17838321874012156
RDcap,0.4307621132596785,-0.1925440501538113,330,2011,-0.44698464471906557,-0.6000033583480674,0.881602271628887,0.14642671306962732
REV6,1.132681550485282,0.546449301525322,192,1996,0.4824386000559497,0.9454949344845172,-0.9794255277500759,-0.8141166918544642
RIO_Disp,0.6087758220955518,0.3897121745907817,288,2005,0.640157116045278,-0.20804971165312225,0.13719115187730185,-0.09500888213517249
RIO_MB,0.8829100823166649,0.08089151690279792,288,2005,0.09161920168648083,0.3955438187572358,0.13719115187730185,-0.09500888213517249
RIO_Turnover,0.6414246981249377,0.43082427761225917,288,2005,0.6716677403780646,-0.13616285471443812,0.13719115187730185,-0.09500888213517249
RIO_Volatility,0.9965503331304488,0.9247045291785071,288,2005,0.9279054940193,0.6457588780865023,0.13719115187730185,-0.09500888213517249
RIVolSpread,1.045060952109228,0.15765646838479996,107,2009,0.1508586346725564,0.7525703935394619,0.633465231711692,-1.8510450608745672
