signalname,in_sample,post_sample,post_pub
ChangeInRecommendation,1.0485869264973169,1.043934481146065,0.25575891704485304
CitationsRD,0.206374627340535,0.1274563351128061,0.06193654272210553
CompEquIss,0.23546497593807025,0.48633428354681196,0.342795347978841
CompositeDebtIssuance,0.31559427318713346,0.36029662022310843,0.22134147259297987
ConsRecomm,0.5164989966932828,2.0719222811093303,0.10946106275121707
ConvDebt,0.38190667419086083,0.514034121923586,0.2978915773937159
CoskewACX,0.2975683652719586,0.7718974542800776,0.2825253799314751
Coskewness,0.2858351161888769,-0.06888204120469255,0.26791392585343615
CredRatDG,0.4845504030594755,1.2142089339165756,0.25100648017134186
CustomerMomentum,1.092214803174748,-0.10389084182875212,0.39362188375510293
DebtIssuance,0.1711744165934788,0.656067645666304,0.08756262545394201
DelBreadth,0.6832617355122175,1.647249872656636,0.2988572076359689
DelCOA,0.5411303988206518,0.6700756806762134,0.1448100918089615
DelCOL,0.35489526802498,0.5837837923313579,0.09909331005550318
DelDRC,0.7038415422958584,-0.17485108107645014,0.23157636225194153
DelEqu,0.46633714953061006,1.3241705146664167,0.29238687194957325
DelFINL,0.7176076772037651,0.563441037962335,0.19309085756823235
DelLTI,0.1607695256599945,0.46742942306620144,0.12498040010185157
DelNetFin,0.545275066928875,-0.19693330205081924,0.024900394348770345
DivInit,0.5828336353206502,0.40306461921006415,0.2638405079838462
DivOmit,0.4834989705038736,0.3858416389584787,0.8525561425240498
DivSeason,0.3244241246637417,0.19294735802896365,0.09087123848341869
DivYieldST,0.5732933874083508,0.23943662492651274,0.631186132133053
DolVol,0.7596280533851185,0.16265000463824986,0.3879428182350795
DownRecomm,0.599286711819787,0.9550307124445636,0.18526984729797294
EBM,0.30053763603815226,-0.10668074115323926,0.21421941198297456
EP,0.36672896719072634,0.7226711591332433,0.203441478503393
EarnSupBig,0.3991017579340758,0.22648793179123564,0.4757742981535091
EarningsConsistency,0.20664233388892791,0.2626976818786038,0.3616568259272051
EarningsForecastDisparity,0.6557531977076103,0.0796449091487755,0.15290888706760972
EarningsStreak,1.0930536751606499,0.4047376565999785,0.6818815623458893
EarningsSurprise,1.1304228101146432,0.7648099483971803,0.40025420258557626
EntMult,0.8599385999229121,-0.06972288091092436,0.28140018311189646
EquityDuration,0.598883767672466,1.5412137649720936,0.0075093086040521045
ExchSwitch,0.44659444574011015,0.8467500502502217,0.7736962780864872
ExclExp,0.2521456909794096,0.5756826512165562,0.05089583847653441
FEPS,1.4786249733904058,0.34294956887160616,0.6445276782960143
FR,0.29796253736246475,-0.6478739547637103,-0.444335098843644
FirmAge,-0.005405086656082898,-0.3435888431164397,-0.1393538083942491
FirmAgeMom,2.2276189440080327,0.5381911056907148,0.8432898810591131
ForecastDispersion,0.7150248689975769,0.8260900239174455,0.3313305647822104
Frontier,2.0801046901959825,1.7090817862399408,0.48646468679952415
